date,close_indice,close_future
2021-01-21,"58,969.37","60,802"
2021-01-22,"58,886.26","60,802"
2021-01-23,"58,886.26","60,802"
2021-01-24,"58,886.26","60,802"
2021-01-25,"59,408.05","61,394"
2021-01-26,"58,720.55","60,665"
2021-01-27,"57,644.44","59,654"
2021-01-28,"58,084.46","60,052"
2021-01-29,"57,312.45","59,220"
2021-01-30,"57,312.45","59,220"
2021-01-31,"57,312.45","59,220"
2021-02-01,"57,670.40","59,473"
2021-02-02,"57,585.13","59,472"
2021-02-03,"57,828.55","59,723"
2021-02-04,"58,493.74","60,506"
2021-02-05,"58,877.36","60,852"
2021-02-06,"58,877.36","60,852"
2021-02-07,"58,877.36","60,852"
2021-02-08,"59,647.94","61,648"
2021-02-09,"59,663.77","61,622"
2021-02-10,"60,637.70","62,475"
2021-02-11,"60,420.45","62,622"
2021-02-12,"60,673.94","62,983"
2021-02-13,"60,673.94","62,983"
2021-02-14,"60,673.94","62,983"
2021-02-15,"61,674.76","63,900"
2021-02-16,"61,775.45","63,840"
2021-02-17,"61,738.47","63,946"
2021-02-18,"61,206.58","63,253"
2021-02-19,"62,105.24","64,253"
2021-02-20,"62,105.24","64,253"
2021-02-21,"62,105.24","64,253"
2021-02-22,"61,903.64","63,909"
2021-02-23,"60,493.97","62,542"
2021-02-24,"60,747.41","62,752"
2021-02-25,"62,063.35","64,007"
2021-02-26,"60,754.30","62,604"
2021-02-27,"60,754.30","62,604"
2021-02-28,"60,754.30","62,604"
2021-03-01,"62,107.04","64,176"
2021-03-02,"63,104.70","65,068"
2021-03-03,"62,861.62","64,907"
2021-03-04,"62,250.03","64,416"
2021-03-05,"62,788.64","64,899"
2021-03-06,"62,788.64","64,899"
2021-03-07,"62,788.64","64,899"
2021-03-08,"62,910.60","65,077"
2021-03-09,"63,098.33","65,285"
2021-03-10,"62,886.16","64,975"
2021-03-11,"63,187.54","65,376"
2021-03-12,"62,587.78","64,640"
2021-03-13,"62,587.78","64,640"
2021-03-14,"62,587.78","64,640"
2021-03-15,"61,921.05","63,988"
2021-03-16,"61,623.63","63,582"
2021-03-17,"60,810.17","62,743"
2021-03-18,"61,050.33","63,011"
2021-03-19,"60,313.40","62,164"
2021-03-20,"60,313.40","62,164"
2021-03-21,"60,313.40","62,164"
2021-03-22,"60,313.40","62,075"
2021-03-23,"59,793.26","61,537"
2021-03-24,"59,768.81","61,915"
2021-03-25,"59,278.89","61,250"
2021-03-26,"61,244.27","63,370"
2021-03-27,"61,244.27","63,370"
2021-03-28,"61,244.27","63,370"
2021-03-29,"61,443.90","63,603"
2021-03-30,"61,589.91","63,713"
2021-03-31,"60,881.15","62,831"
2021-04-01,"61,590.24","63,619"
2021-04-02,"61,590.24","63,619"
2021-04-03,"61,590.24","63,619"
2021-04-04,"61,590.24","63,619"
2021-04-05,"61,590.24","63,619"
2021-04-06,"62,372.24","64,355"
2021-04-07,"61,409.52","63,497"
2021-04-08,"61,303.19","63,161"
2021-04-09,"61,458.47","63,500"
2021-04-10,"61,458.47","63,500"
2021-04-11,"61,458.47","63,500"
2021-04-12,"60,672.56","62,654"
2021-04-13,"61,382.99","63,364"
